bankCode,bankName,dest
202130,QUBE MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
202131,REHOBOTH MFB NIG LTD,C:/python_work/bvn_user_actitities/destination/
202132,Resolution Finance Limited,C:/python_work/bvn_user_actitities/destination/
202135,Caretaker Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
202136,BANCORP FINANCE LIMITED,C:/python_work/bvn_user_actitities/destination/
202138,Kingdom College Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
202139,Giwa Microfinance bank Limited,C:/python_work/bvn_user_actitities/destination/
202140,ABSU MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
202142,SYSTEM SPECS,C:/python_work/bvn_user_actitities/destination/
202143,Changan RTS Microfinance  Bank,C:/python_work/bvn_user_actitities/destination/
202144,MIM FINANCE COMPANY LIMITED,C:/python_work/bvn_user_actitities/destination/
202145,SAFEGATE MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
202150,MOZFIN MFB LTD,C:/python_work/bvn_user_actitities/destination/
202151,NOMASE MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
202291,Joint Tax Board,C:/python_work/bvn_user_actitities/destination/
211222,Mkobo Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
214000,BANEX MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
214123,PARKWAY PROJECTS LIMITED,C:/python_work/bvn_user_actitities/destination/
214702,Fast Credit Limited,C:/python_work/bvn_user_actitities/destination/
215478,Credite Capital Finance & Investment Ltd,C:/python_work/bvn_user_actitities/destination/
221000,TF MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
221014,KREDI MONEY MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
221100,EBSU Microfinance  Bank Ltd,C:/python_work/bvn_user_actitities/destination/
221110,del_Visa Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
221111,Parkway Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
221123,OLOWOLAGBA MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
221128,INTERLAND MFB,C:/python_work/bvn_user_actitities/destination/
221221,CEDAR MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
221223,Cooperative Mortgage Bank,C:/python_work/bvn_user_actitities/destination/
